iter	Logloss
0	0.6458724406
1	0.6079840039
2	0.5681849121
3	0.5330154303
4	0.5018911004
5	0.4743730731
6	0.4535100758
7	0.4311222141
8	0.4124313989
9	0.3913034916
10	0.3701435208
11	0.3532027662
12	0.3370628605
13	0.325140496
14	0.3138677656
15	0.3060041429
16	0.2984867569
17	0.2920898057
18	0.2845893842
19	0.2785895564
20	0.269695101
21	0.2608478891
22	0.2550625828
23	0.2485375814
24	0.2434011999
25	0.2377081562
26	0.2330784656
27	0.2283009158
28	0.22329959
29	0.2181262461
30	0.2138781735
31	0.2083302414
32	0.2035022934
33	0.1997705383
34	0.1958070688
35	0.1925922275
36	0.1880517577
37	0.1855089061
38	0.1822603905
39	0.1779560689
40	0.1753055808
41	0.1736383846
42	0.1697612873
43	0.1660826019
44	0.1633349763
45	0.1606321874
46	0.1574676133
47	0.1554099579
48	0.1531617845
49	0.1505771799
50	0.1484578301
51	0.1472115433
52	0.145178504
53	0.1426345006
54	0.1404114658
55	0.1374617327
56	0.1350776035
57	0.1335744483
58	0.1322555226
59	0.1304560619
60	0.1281502132
61	0.1264980152
62	0.1247825614
63	0.122568455
64	0.1210472355
65	0.1187814196
66	0.1171128557
67	0.1154043772
68	0.1137780892
69	0.1122659177
70	0.1107751526
71	0.1089340574
72	0.1074018489
73	0.1059812864
74	0.1047423067
75	0.1038123895
76	0.1024244662
77	0.1009298656
78	0.09991046371
79	0.09854376895
80	0.0971257556
81	0.09643067487
82	0.09522101024
83	0.09401546427
84	0.09320299112
85	0.09169862631
86	0.09103520942
87	0.08984396068
88	0.08842017147
89	0.08682182567
90	0.08578970043
91	0.08475639307
92	0.08396328711
93	0.0832606783
94	0.08231152386
95	0.08138672004
96	0.08057167616
97	0.07983059836
98	0.07894701872
99	0.07768185804
100	0.07670553205
101	0.07564555915
102	0.07514047281
103	0.07443621529
104	0.0739855771
105	0.0732011303
106	0.07196856153
107	0.07104130076
108	0.07040001691
109	0.06965483907
110	0.06889655505
111	0.06817536088
112	0.06751399221
113	0.06685307235
114	0.06633008134
115	0.06539178892
116	0.06436803369
117	0.06334548319
118	0.06260210309
119	0.06226010465
120	0.06159301764
121	0.06075119611
122	0.05997806555
123	0.05958165296
124	0.05909638053
125	0.05847059303
126	0.05781760282
127	0.05730407352
128	0.05701227644
129	0.05646855138
130	0.05582184982
131	0.05544276997
132	0.05472353331
133	0.05430805142
134	0.05377376118
135	0.0533019271
136	0.05258748075
137	0.05207546071
138	0.05141045534
139	0.05095082222
140	0.05054520858
141	0.04982182638
142	0.04951640904
143	0.04904622177
144	0.04845930409
145	0.04786679973
146	0.04748644344
147	0.04708019186
148	0.0468108939
149	0.04639695688
150	0.04596492627
151	0.0456431329
152	0.04533594538
153	0.04504516077
154	0.04462894595
155	0.04437323433
156	0.04403017793
157	0.0435391523
158	0.04319111095
159	0.04277410355
160	0.04251696142
161	0.04211939835
162	0.04187562057
163	0.04151858258
164	0.0410537317
165	0.040768107
166	0.04036627025
167	0.04009941546
168	0.03963934872
169	0.03941425821
170	0.03916282483
171	0.03886931522
172	0.03857168771
173	0.03822943148
174	0.03792273913
175	0.03757225337
176	0.03723286025
177	0.03694774601
178	0.03651549351
179	0.03629966599
180	0.0360038461
181	0.03569196743
182	0.03543078035
183	0.0350062167
184	0.03456221653
185	0.03435982822
186	0.03395522543
187	0.03366848634
188	0.03338274196
189	0.03297999428
190	0.03273324529
191	0.03254103262
192	0.03212785037
193	0.03190868746
194	0.03157248953
195	0.03137252739
196	0.03112503219
197	0.03079546666
198	0.03052889113
199	0.03039613872
